Catalog Number,Product Description,Fisher Stated Sales,Fisher Stated List Price,Fisher Stated Qty (SU + AU),Wisconsin Cost,Nebraska Cost,Penn State Cost,Wisconsin Quantity,Nebraska Quantity,Penn State Quantity,Wisconsin Average Cost Per Item,Nebraska Average Cost Per Item,Penn State Average Cost Per Item,Total Cost,Total Quantity
100151,ADPT 500ML TO 250ML PK/2,2880,943,6.0,0.0,1451.52,0.0,0.0,3,0.0,0.0,483.84,0.0,1451.52,3
10040F,NM FLASK ERLENM 250ML 12/PK,1420.8,132,23.0,396.12,451.73,69.3,6,5,2,66.02,90.35,34.65,917.15,13
10040Q,FLASK ERLENMEYER 6000ML,4245.63,321.5,19.0,2195.25,503.72,1150.69,7,4,3,313.61,125.93,383.56,3849.66,14
1004118,ERLENMEYER FLASK 250ML 50/CS,1518.76,921,4.0,763.12,0.0,0.0,2,0.0,0.0,381.56,0.0,0.0,763.12,2
1004119,FLASK FERNBACH PC 2800ML,3971.14,236,18.0,3971.14,0.0,0.0,18,0.0,0.0,220.62,0.0,0.0,3971.14,18
100414B,FLSK BAF SHK WO/CAP 250ML 6/CS,1254.5,271.5,9.0,285.36,0.0,0.0,2,0.0,0.0,142.68,0.0,0.0,285.36,2
100418,FLASK ERL STL PC 125ML 50/CS,1846.59,844,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10067086,HEATING BLANKET 6X24 120V,1656.35,413,5.0,0.0,1656.35,0.0,0.0,5,0.0,0.0,331.27,0.0,1656.35,5
10092,FLASK FERNBACK 2800ML,3060.75,192.4,13.0,2303.51,0.0,0.0,5,0.0,0.0,460.7,0.0,0.0,2303.51,5
10101103,SEROLOGICAL PIPET10ML 200/CS,1261.15,146.8,35.0,895.77,331.29,34.09,25,9,1,35.83,36.81,34.09,1261.15,35
10101104,SEROLOGICAL PIPET25ML 200/CS,4336.07,306,62.0,1108.96,720.85,0.0,16,10,0.0,69.31,72.09,0.0,1829.81,26
10101105,SEROLOGICAL PIPET 50 ML 100CS,3061.19,408,31.0,2144.78,397.76,0.0,22,4,0.0,97.49,99.44,0.0,2542.54,26
