Catalog Number, Description, 2022, 2021, 2020, 2019
AAJ60679MD, 4-THIOURIDINE 98+% 250MG, 560.55, 544.79, , 
AAJ67560SDL, BLEOMYCIN SFAT CEL CULTUR 15MG, 601.05, , , 
AA1260722, TELL BROKEN INGT 99.9999+ 100G, 430.83, 377.77, 362.46, 
AB0490, PCR 8-STRIP TB W/DMD CAP 250CS, 288.98, 293.79, 282.66, 
AB2000PM, EZSTRIP PL TB STRIP FL CAP PRM, 246.41, 262.0, , 
AB2800, SUPERPLATE SKRTD PCR PLT 25/CS, 132.99, 133.46, , 118.98
AC166350500, METHYL-D3 ALCOHOL-D 99. 50ML, 376.25, , , 
AC167581000, 4-ACETYLBENZONITRILE 98 100GR, 411.98, 385.9, 370.0, 
AC167725000, CARBON TETRACHLORIDE 99 500ML, 182.41, 182.41, 181.29, 
AC610961000, ACETONITRILE ANHYD, 56.34, 56.34, , 
AF650, HTROP-2 AFF PUR PAB 100 UG, 402.51, 377.622, 388.5, 
AS520, SHELL VIAL WIDE TRAY 500/CS, 66.79, 56.29, 54.54, 
A1320, TECHNICAL GRADE ACETONE 20 L, 90.02, 75.18, 72.9, 68.32
A4074, ETHYL ALCOHOL DENATURED 4L, 62.59, 62.59, 59.38, 
A433F1GAL, METHANOL HISTO F-STYL POLY, 38.07, 38.07, , 
A4644, 2-PROPANOL OPTIMA GRADE 4L, 74.86, 74.86, , 
BDB555630, HU CD8 NALE MAB 0.5MG HIT8A, 362.27, 362.27, , 
BDB556420, ANNEXIN V RECOM FITC 100TST, 217.37, 217.37, , 209.25
BDB556430, P21 PURE MAB 0.1MG SX118, 275.33, 275.33, , 
BDB562440, HU CD19 BV421 MAB 100TST HIB19, 367.74, , , 
BDB562455, MOUSE CD69 PE-CF594 H1.2F3 0.1, 304.31, 304.31, , 
BDB562608, MOUSE CD34 BV421 RAM34 50UG RU, 227.03, 227.03, , 
BDB563219, HU CD3 BV605 SK7 100TST, 368.89, , , 
BDB563701, HU CD25 BV786 M-A251 100TST, 376.77, 376.77, , 
BDB564672, MS CD223 BB515 C9B7W 50UG, 217.37, 217.37, , 
BDB612844, MS CD4 BUV737 RM4-5 25UG, 182.59, , , 
BP13331, TRIS BORATE EDTA IL, 47.5, 47.5, 48.87, 
BP14212, TRYPTONE DEHYDRATED 2KG, 442.34, 442.34, , 
BP2211, GUANIDINE THIOCYANATE 1KG, 595.91, 595.91, , 
BP2525100, HUMAN SERUM TYPE AB 100ML, 307.12, 307.12, , 
BP2571100, 100BP PCR DNA LADDER, 144.87, 144.87, 139.91, 
BP26181, ISOPROPANOL MOLECULAR BIOLOGY, 34.26, 34.26, 19.72 (matched with similar item: BP2618500), 
BP337500, TWEEN 20 500ML, 33.92, 33.92, , 
BTH1M2, SYNERGY H1 HYBRID MULTI-MODE R, 43489.25, , , 
B11065, BRAIN HEART INFUS AGAR 500G, 297.2, 241.16, 241.41, 
B12539, GRAM STAIN SET WSTAB IODINE RX, 196.94, 95.83, , 
B256066, VERITOR PLUS ANALYZER       RX, 342.87, , , 
B256068, VERITOR INFOSCAN MODULE, 481.07, , , 
B256082, VERITOR COVID AGN TEST30TPK RX, 339.61, , , 
C5564, CYCLOHEXANE CERT ACS 4L, 88.21, 88.21, , 
DF0812071, AGAR BACTERIOL TECHN 2.0KG, 731.12, , , 
DF2268478, SPICER EDWARDS 4 ANTISERA, 498.02, 285.21, , 
DF2518476, SAL O ANTIS GP K FACTOR 18  RX, 187.14, 198.98, , 
FB012920, 35MM TC DISH 960/CS, 122.0, 124.5, , 
FB0875711, 100X25MM STACKABLE DEEP PETR, 97.36, 73.05, 71.76, 
FB0875711Z, .00X20MM STACKABLE DEEP 400/CS, 109.47, 81.64, 80.19, 
FB0875714G, PETRI DISH95X15MM500/CS, 49.1, 48.93, 48.93, 
FB4418, 1/8IN MICROTIP, 323.56, 333.54, , 
FB4435, 1/4IN MICROTIP, 320.17, 329.82, , 
FD10006G, MICROMAN E M1000E 100-1000 UL, 406.32, 406.32, , 
FERA48305, KF DW 96 PLATE 50 PCS, 316.83, 315.75, , 
FERA48438, KF 96 COMB 100PCS (9600 PREPS), 627.97, , , 
FERK0503PM, GENEJET PL MINIPREP 250PREP, 200.81, 200.13, 200.0, 282.59 (matched with similar item: FERK0503)
FERK0692PM, GENEJET GEL EXTR 250PREP, 271.99, 289.2, 359.47 (matched with similar item: FERK0692), 348.12 (matched with similar item: FERK0692)
FERK0782, GENEJET BLOOD GEN DNA 250 PREP, 575.73, 575.73, , 
FERK1082PM, DREAMTAQ GREENPCRMASTERMIX PRM, 345.91, 344.73, , 
FERK1231, CLONEJET PCR CLONING 20RXN, 152.88, 155.63, 148.34, 
FERR1161, 6X TRITRACK LOADING DYE 5X1ML, 45.96, 46.79, , 
F144073G, PIPETMAN G 12X200, 827.73, , , 
F167300GPM, PIPETMAN STARTER KIT PM, 567.11, , , 
F167350GPM, PIPETMAN L STARTER K PM, 623.54, , , 
