Michigan State
,Top Purchased By Price
,,,25 ml Eppendorf tubes,103060.0
,,,"BioTek Synergy H1 Hybrid Multi-Mode Monochromator Fluorescence Microplate Readers, Includes: Monochromator fluorescence; Monochromator absorbance; Full-light luminescence, Multi-Mode Microplate Reader, Depth: 18.6 in., 47.2cm, Height: 12.9 in., 32.8cm,
Light Source: Xenon flash Vendor Catalog # BTH1M 
This item is being sold as 1 per each
Medical Device
Product - Non-Returnable",83997.0
,,,Maxwell(R) RSC System,69328.16
,,,9210PL 37192 PARTRESP N95,52767.200000000004
,,,EPPENDORF TUBE 5.0ML 200/CS,47724.0
,,,SOFIA SARS COV ANTIGEN FIA,41400.0
,,30122410,"25 ml screw cap conical tube, 200/case",40350.0
,,15652,SM SPC BAG 95KPA ZORB PD CS100,38761.47
,,1300-500,Fetal Bovine Serum select grade (FBS),37500.0
,,,"Quantstudio3, 0.1ml, refurbished",36756.26
,Top Purchased By Volume
,,,25 ml Eppendorf tubes,1000
,,,EPPENDORF TUBE 5.0ML 200/CS,970
,,30122410,"25 ml screw cap conical tube, 200/case",600
,,30119401,"5 ml Eppendorf tubes, case of 200",455
,,,BASE PAIR 10 NMOL SCALE,422
,,,BAG SPEC BIOH 4X6 PRINTED M/CS,421
,,15652,SM SPC BAG 95KPA ZORB PD CS100,341
,,21008-242,"50 ml centrifuge tube, case of 500",300
,,,BASE PAIR 10 NMOL SCALE,292
,,,9210PL 37192 PARTRESP N95,284

Nebraska
,Top Purchased By Price
,,CPQ-00350734 MULTI,ORBITRAP EXPLORIS SYSTEM,580000.0
,,A43171,"QS7-PRO 384W QPCR,LAPTOP",204681.81
,,CPQ-00350734 MULTI2,ORBITRAP EXPLORIS SYSTEM,195791.0
,,SYS80004/Q615274,MICROCAL PEAQ-ITC,144210.53
,,C10MPWCSN,CONFOCAL IMAGING READER,139248.3
,,4406984,7500 FAST DX INSTRUMENTLAPTOP,123096.0
,,ZGD2SC7500FASTDX,"AB DX,7500FAST DX,2Q",96396.0
,,147002,RNASE AWAY 4 LITERS,76310.3
,,A43171,"QS7-PRO 384W QPCR,LAPTOP",67545.0
,,A43164,"QS7-PRO 384W QPCR,SYSTEM",65407.5
,Top Purchased By Volume
,,B608002420/EMD,DURAC THERMOMETER,560
,,20402,QKVUE COV AG ATHOME OTC 2T/PK,495
,,147002,RNASE AWAY 4 LITERS,401
,,54015,WYPALL. X60 CLOTHS,400
,,BK0110,"600ML, BOROSCIL BEAKER, PK6",260
,,CG200108,SPIN BAR 25.4 L X 7.93MM DIA,250
,,775771,THERML CRYOTAG 1.05X.50,200
,,1804,TOWEL SCOTT MULTI-FOLD 4000/CS,200
,,CH0694B,IN LINE TEST TUBE RACK,200
,,790202,BIOHITTIP 200 UL REFILL PK960,189

Penn State
,Top Purchased By Price
,,Not assigned,#MULTIVALUE,3381622.66
,,544736583|B256082,VERITOR COVID AGN TE,1757324.25
,,551276003|B256082,VERITOR COVID AGN TE,878925.75
,,517776741|23600982,UTM-RT TRANS MEDIA3M,521250.0
,,498605887|12888001,3-PLY BLUE FACEMASK,221917.5
,,Not assigned,MASS SPEC LAB FURNIT,168917.76
,,499714594|501148245,TAQPATH 1STEP RT-QPC,157876.29
,,Not assigned,LAB FURNITURE,139995.19
,,499766854|23600982,UTM-RT TRANS MEDIA3M,137123.0
,,Not assigned,"SCIENTIFIC CASEWORK,",129244.68
,Top Purchased By Volume
,,Not assigned,#MULTIVALUE,4199
,,544736583|B256082,VERITOR COVID AGN TE,3333
,,551276003|B256082,VERITOR COVID AGN TE,1667
,,517776741|23600982,UTM-RT TRANS MEDIA3M,834
,,498605887|12888001,3-PLY BLUE FACEMASK,750
,,565628825|12888001A,FACEMASK 3 PLY EARLO,400
,,569985915|RS121420,REF. NO: TG6299 - SE,300
,,544331536|12888001,3-PLY BLUE FACEMASK,300
,,578958488|MSPP-T1158,TUBES BHI BROTH 5.5,300
,,499766854|23600982,UTM-RT TRANS MEDIA3M,266

Wisconsin
,Top Purchased By Price
,,(blank),SOFIA2 FLUSARS ANTIGN NS 25/PK,10510500.0
,,20374,SARSANTGN FIA NAS SW 25T/PK RX,4209000.0
,,20374,SARSANTGN FIA TESTKIT25T/PK RX,897000.0
,,(blank),SARSANTGN FIA TESTKIT25T/PK RX,462300.0
,,L031-118B5,COVID-19 ANTIGEN HOME TEST CASSETTE,347582.52
,,,"#6Q8031606525-000010#IMAGEXPRESSNANOMX, ImageXpress",303996.0
,,,"#6Q8031514714-000010#BOM-ICT0004, Metrohm Profiler Solids Ana",260909.0
,,L031-118B5,COVID 19 ANTIGEN HOME TEST CASSETTE,234665.1
,,A43185,"QS7-PRO 384W QPCR,DESKTOP",213300.0
,,(blank),PROCESS 11-HYGENIC TSE,204190.38
,Top Purchased By Volume
,,DNA001,BASE PAIR 10 NMOL SCALE,12471
,,DNA001,BASE PAIR 10 NMOL SCALE,8510
,,39512017,"24 Long x 18 Wide Sheets of White Newsprint Paper 30 Lb Paper Weight, 1,666 Sheets",3332
,,ROA77512,Roaring Spring&reg; Examination Blue Book - ROA77512,2498
,,DNA001,BASE PAIR 10 NMOL SCALE,1835
,,ROA77510,Roaring Spring&reg; Examination Blue Book - ROA77510,1460
,,(blank),SOFIA2 FLUSARS ANTIGN NS 25/PK,1001
,,39512223,"24 Long x 18 Wide Sheets of Recycled Kraft Paper 50 Lb Paper Weight, 1,000 Sheets",1000
,,67W43LQTY1500,WHITE RIBBED MATTE TOP CAP,1000
,,205515,MEDICOM ASSUR EARLOOP MASK,1000

